index,0,1
"['6', 'json'].0.2",Sold by,"PC Fallon Co.Trusted storeWhat makes this a trusted store?This store offers a combination of fast shipping, on-time deliveries, and easy returns, among other services.·4.9/54.9 out of 5 stars store rating(1.6K)"
"['6', 'json'].0.3",Sold by,Vitacost.com4.6/54.6 out of 5 stars store rating(8.3K store reviews)
"['6', 'json'].0.4",Sold by,Bealls Florida4.4/54.4 out of 5 stars store rating(3.8K store reviews)
"['6', 'json'].0.5",Sold by,ihealthee
"['6', 'json'].0.6",Sold by,Walmart - ROXON ENTERPRISES LLC
"['6', 'json'].0.7",Sold by,myBitti.com
"['6', 'json'].0.8",Sold by,eBay - 433433
"['6', 'json'].0.9",Sold by,truegether.com/user/433433.html
"['6', 'json'].0.10",Sold by,eCrater - xpertsedge
"['6', 'json'].1.0",Details & special offers,Spend $65 for free delivery
"['6', 'json'].1.1",Details & special offers,$5.99 deliveryFree 30-day returns
"['6', 'json'].1.2",Details & special offers,"Delivery by Wed, May 25Spend $89 for free delivery"
"['6', 'json'].1.3",Details & special offers,Spend $49 for free delivery60-day returns
"['6', 'json'].1.4",Details & special offers,Delivery date & cost shown at checkout
"['6', 'json'].1.5",Details & special offers,Free delivery
"['6', 'json'].1.6",Details & special offers,Free delivery
"['6', 'json'].1.7",Details & special offers,"Free delivery by Tue, May 17"
"['6', 'json'].1.8",Details & special offers,"Free delivery by Wed, May 18"
"['6', 'json'].1.9",Details & special offers,Free delivery
"['6', 'json'].1.10",Details & special offers,Free delivery
"['6', 'json'].2.0",Item price,$9.25 
"['6', 'json'].2.1",Item price,$8.99 
"['6', 'json'].2.2",Item price,$8.99 
"['6', 'json'].2.3",Item price,$8.99 
"['6', 'json'].2.4",Item price,LOW PRICE$7.19$8.99
"['6', 'json'].2.5",Item price,$12.79 
"['6', 'json'].2.6",Item price,$20.52 
"['6', 'json'].2.7",Item price,$13.99 
"['6', 'json'].2.8",Item price,$26.99 
"['6', 'json'].2.9",Item price,$26.45 
"['6', 'json'].2.10",Item price,$16.99 
"['6', 'json'].3.0",Total price,$19.20 
"['6', 'json'].3.1",Total price,$15.88 
"['6', 'json'].3.2",Total price,$15.94 
"['6', 'json'].3.3",Total price,$15.88 
"['6', 'json'].3.4",Total price,$7.62+Shipping
"['6', 'json'].3.5",Total price,$13.56 
"['6', 'json'].3.6",Total price,$21.75 
"['6', 'json'].3.7",Total price,$14.83 
"['6', 'json'].3.8",Total price,$28.61 
"['6', 'json'].3.9",Total price,$26.45 
"['6', 'json'].3.10",Total price,$16.99 
"['78', 'json'].0.0",Sold by,"PC Fallon Co.Trusted storeWhat makes this a trusted store?This store offers a combination of fast shipping, on-time deliveries, and easy returns, among other services.·4.9/54.9 out of 5 stars store rating(1.6K)"
"['78', 'json'].0.1",Sold by,eBay1 more offerHide offers
"['78', 'json'].0.2",Sold by,truegether.com/user/433433.html
"['78', 'json'].0.3",Sold by,Bonanza - Xperts-Bonanza Mall
"['78', 'json'].0.4",Sold by,Newegg.com - Famous Microgreens
"['78', 'json'].0.5",Sold by,Zabiva.com
"['78', 'json'].0.6",Sold by,iBeautyCity.com
"['78', 'json'].0.7",Sold by,goodholidayprice
"['78', 'json'].1.0",Details & special offers,"Delivery by Wed, May 25Spend $89 for free delivery"
"['78', 'json'].1.1",Details & special offers,"Free delivery by Wed, May 18"
"['78', 'json'].1.2",Details & special offers,Free delivery
"['78', 'json'].1.3",Details & special offers,Free delivery
"['78', 'json'].1.4",Details & special offers,Free delivery
"['78', 'json'].1.5",Details & special offers,Free deliveryApply SAVE22
"['78', 'json'].1.6",Details & special offers,"Free delivery by Sun, May 22"
"['78', 'json'].1.7",Details & special offers,"Free delivery by Tue, May 17"
"['78', 'json'].2.0",Item price,"GREAT PICKThis product and store are highly rated, and the price is competitive.$37.40"
"['78', 'json'].2.1",Item price,$44.99 
"['78', 'json'].2.2",Item price,$44.09 
"['78', 'json'].2.3",Item price,$44.99 
"['78', 'json'].2.4",Item price,$57.29 
"['78', 'json'].2.5",Item price,5% OFF$54.89
"['78', 'json'].2.6",Item price,$75.65 
"['78', 'json'].2.7",Item price,$75.78 
"['78', 'json'].3.0",Total price,$45.35 
"['78', 'json'].3.1",Total price,$47.69 
"['78', 'json'].3.2",Total price,$44.09 
"['78', 'json'].3.3",Total price,$47.69 
"['78', 'json'].3.4",Total price,$60.73 
"['78', 'json'].3.5",Total price,$58.18 
"['78', 'json'].3.6",Total price,$75.65 
"['78', 'json'].3.7",Total price,$75.78 
"['9', 'json'].0.0",Sold by,Vitabath4.9/54.9 out of 5 stars store rating(392 store reviews)
"['9', 'json'].0.1",Sold by,Walmart - Euro Pharm
"['9', 'json'].0.2",Sold by,eBay3 more offersHide offers
"['9', 'json'].0.3",Sold by,myBitti.com
"['9', 'json'].0.4",Sold by,DorothyShop
"['9', 'json'].0.5",Sold by,MeekDepot
"['9', 'json'].0.6",Sold by,Zabiva.com
"['9', 'json'].0.7",Sold by,"onnyxbeautyTrusted storeWhat makes this a trusted store?This store offers a combination of fast shipping, on-time deliveries, and easy returns, among other services."
"['9', 'json'].0.8",Sold by,Oneway Beauty
"['9', 'json'].1.0",Details & special offers,Spend $65 for free delivery
"['9', 'json'].1.1",Details & special offers,Free delivery
"['9', 'json'].1.2",Details & special offers,"Free delivery by Wed, May 18"
"['9', 'json'].1.3",Details & special offers,"Free delivery by Tue, May 17"
"['9', 'json'].1.4",Details & special offers,"$7.13 delivery by Mon, May 30Free 30-day returns"
"['9', 'json'].1.5",Details & special offers,"Free delivery by Sun, May 22"
"['9', 'json'].1.6",Details & special offers,Free deliveryApply SAVE22
"['9', 'json'].1.7",Details & special offers,"Free delivery by Mon, May 23"
"['9', 'json'].1.8",Details & special offers,"Free delivery by Sun, May 22"
"['9', 'json'].2.0",Item price,LOW PRICE$20.55
"['9', 'json'].2.1",Item price,$24.99 
"['9', 'json'].2.2",Item price,$24.99 
"['9', 'json'].2.3",Item price,$26.99 
"['9', 'json'].2.4",Item price,$28.50 
"['9', 'json'].2.5",Item price,$83.50 
"['9', 'json'].2.6",Item price,5% OFF$52.60
"['9', 'json'].2.7",Item price,$77.93 
"['9', 'json'].2.8",Item price,$72.37 
"['9', 'json'].3.0",Total price,$30.50 
"['9', 'json'].3.1",Total price,$26.49 
"['9', 'json'].3.2",Total price,$26.49 
"['9', 'json'].3.3",Total price,$28.61 
"['9', 'json'].3.4",Total price,$39.90 
"['9', 'json'].3.5",Total price,$83.50 
"['9', 'json'].3.6",Total price,$55.76 
"['9', 'json'].3.7",Total price,$77.93 
"['9', 'json'].3.8",Total price,$72.37 
"['11', 'json'].0.0",Sold by,Vitabath4.9/54.9 out of 5 stars store rating(392 store reviews)
"['11', 'json'].0.1",Sold by,"PC Fallon Co.Trusted storeWhat makes this a trusted store?This store offers a combination of fast shipping, on-time deliveries, and easy returns, among other services.·4.9/54.9 out of 5 stars store rating(1.6K)"
"['11', 'json'].0.2",Sold by,Walmart1 more offerHide offers
"['11', 'json'].0.3",Sold by,eBay1 more offerHide offers
"['11', 'json'].0.4",Sold by,truegether.com/user/433433.html
"['11', 'json'].0.5",Sold by,Bonanza - Xperts-Bonanza Mall
"['11', 'json'].0.6",Sold by,OliveTips.com
"['11', 'json'].1.0",Details & special offers,Spend $65 for free delivery
"['11', 'json'].1.1",Details & special offers,"Delivery by Wed, May 25Spend $89 for free delivery"
"['11', 'json'].1.2",Details & special offers,Free delivery
"['11', 'json'].1.3",Details & special offers,$5.50 delivery
"['11', 'json'].1.4",Details & special offers,Free delivery
"['11', 'json'].1.5",Details & special offers,Free delivery
"['11', 'json'].1.6",Details & special offers,"Free delivery by Mon, May 23"
"['11', 'json'].2.0",Item price,LOW PRICE$9.25
"['11', 'json'].2.1",Item price,LOW PRICE$8.99
"['11', 'json'].2.2",Item price,$18.24 
"['11', 'json'].2.3",Item price,$14.80 
"['11', 'json'].2.4",Item price,$16.65 
"['11', 'json'].2.5",Item price,$16.99 
"['11', 'json'].2.6",Item price,$27.83 
"['11', 'json'].3.0",Total price,$19.20 
"['11', 'json'].3.1",Total price,$15.94 
"['11', 'json'].3.2",Total price,$19.33 
"['11', 'json'].3.3",Total price,$21.19 
"['11', 'json'].3.4",Total price,$16.65 
"['11', 'json'].3.5",Total price,$18.01 
"['11', 'json'].3.6",Total price,$27.83 
"['43', 'json'].0.0",Sold by,Vitabath4.9/54.9 out of 5 stars store rating(392 store reviews)
"['43', 'json'].0.1",Sold by,Walmart - Euro Pharm
"['43', 'json'].0.2",Sold by,"PC Fallon Co.Trusted storeWhat makes this a trusted store?This store offers a combination of fast shipping, on-time deliveries, and easy returns, among other services.·4.9/54.9 out of 5 stars store rating(1.6K)"
"['43', 'json'].0.3",Sold by,eBay - pharmacy1142
"['43', 'json'].0.4",Sold by,eCrater - xpertsedge
"['43', 'json'].0.5",Sold by,Groceryeshop
"['43', 'json'].0.6",Sold by,"VereTreasure SupermarketTrusted storeWhat makes this a trusted store?This store offers a combination of fast shipping, on-time deliveries, and easy returns, among other services."
"['43', 'json'].0.7",Sold by,Zabiva.com
"['43', 'json'].0.8",Sold by,goodholidayprice
"['43', 'json'].1.0",Details & special offers,Spend $65 for free delivery
"['43', 'json'].1.1",Details & special offers,Free delivery
"['43', 'json'].1.2",Details & special offers,"Delivery by Wed, May 25Spend $89 for free delivery"
"['43', 'json'].1.3",Details & special offers,"Free delivery by Wed, May 18"
"['43', 'json'].1.4",Details & special offers,Free delivery
"['43', 'json'].1.5",Details & special offers,Free deliveryApply GET5OFF
"['43', 'json'].1.6",Details & special offers,"Free delivery by Mon, May 16Free 30-day returns"
"['43', 'json'].1.7",Details & special offers,Free deliveryApply SAVE22
"['43', 'json'].1.8",Details & special offers,"Free delivery by Tue, May 17"
"['43', 'json'].2.0",Item price,LOW PRICE$8.20
"['43', 'json'].2.1",Item price,$11.99 
"['43', 'json'].2.2",Item price,LOW PRICE$7.50
"['43', 'json'].2.3",Item price,$11.99 
"['43', 'json'].2.4",Item price,$12.99 
"['43', 'json'].2.5",Item price,5% OFF$24.00
"['43', 'json'].2.6",Item price,$26.33 
"['43', 'json'].2.7",Item price,5% OFF$24.00
"['43', 'json'].2.8",Item price,$28.43 
"['43', 'json'].3.0",Total price,$18.15 
"['43', 'json'].3.1",Total price,$12.71 
"['43', 'json'].3.2",Total price,$14.45 
"['43', 'json'].3.3",Total price,$12.71 
"['43', 'json'].3.4",Total price,$12.99 
"['43', 'json'].3.5",Total price,$25.44 
"['43', 'json'].3.6",Total price,$26.33 
"['43', 'json'].3.7",Total price,$25.44 
"['43', 'json'].3.8",Total price,$28.43 
"['6', 'json'].0.0",Sold by,Vitabath4.9/54.9 out of 5 stars store rating(392 store reviews)
"['6', 'json'].0.1",Sold by,Walgreens.com4.6/54.6 out of 5 stars store rating(509 store reviews)
"['6', 'json'].0.2",Sold by,"PC Fallon Co.Trusted storeWhat makes this a trusted store?This store offers a combination of fast shipping, on-time deliveries, and easy returns, among other services.·4.9/54.9 out of 5 stars store rating(1.6K)"
"['6', 'json'].0.3",Sold by,Vitacost.com4.6/54.6 out of 5 stars store rating(8.3K store reviews)
"['6', 'json'].0.4",Sold by,Bealls Florida4.4/54.4 out of 5 stars store rating(3.8K store reviews)
"['6', 'json'].0.5",Sold by,ihealthee
"['6', 'json'].0.6",Sold by,Walmart - ROXON ENTERPRISES LLC
"['6', 'json'].0.7",Sold by,myBitti.com
"['6', 'json'].0.8",Sold by,eBay - 433433
"['6', 'json'].0.9",Sold by,truegether.com/user/433433.html
"['6', 'json'].0.10",Sold by,eCrater - xpertsedge
"['6', 'json'].1.0",Details & special offers,Spend $65 for free delivery
"['6', 'json'].1.1",Details & special offers,$5.99 deliveryFree 30-day returns
"['6', 'json'].1.2",Details & special offers,"Delivery by Wed, May 25Spend $89 for free delivery"
"['6', 'json'].1.3",Details & special offers,Spend $49 for free delivery60-day returns
"['6', 'json'].1.4",Details & special offers,Delivery date & cost shown at checkout
"['6', 'json'].1.5",Details & special offers,Free delivery
"['6', 'json'].1.6",Details & special offers,Free delivery
"['6', 'json'].1.7",Details & special offers,"Free delivery by Tue, May 17"
"['6', 'json'].1.8",Details & special offers,"Free delivery by Wed, May 18"
"['6', 'json'].1.9",Details & special offers,Free delivery
"['6', 'json'].1.10",Details & special offers,Free delivery
"['6', 'json'].2.0",Item price,$9.25 
"['6', 'json'].2.1",Item price,$8.99 
"['6', 'json'].2.2",Item price,$8.99 
"['6', 'json'].2.3",Item price,$8.99 
"['6', 'json'].2.4",Item price,LOW PRICE$7.19$8.99
"['6', 'json'].2.5",Item price,$12.79 
"['6', 'json'].2.6",Item price,$20.52 
"['6', 'json'].2.7",Item price,$13.99 
"['6', 'json'].2.8",Item price,$26.99 
"['6', 'json'].2.9",Item price,$26.45 
"['6', 'json'].2.10",Item price,$16.99 
"['6', 'json'].3.0",Total price,$19.20 
"['6', 'json'].3.1",Total price,$15.88 
"['6', 'json'].3.2",Total price,$15.94 
"['6', 'json'].3.3",Total price,$15.88 
"['6', 'json'].3.4",Total price,$7.62+Shipping
"['6', 'json'].3.5",Total price,$13.56 
"['6', 'json'].3.6",Total price,$21.75 
"['6', 'json'].3.7",Total price,$14.83 
"['6', 'json'].3.8",Total price,$28.61 
"['6', 'json'].3.9",Total price,$26.45 
"['6', 'json'].3.10",Total price,$16.99 
"['78', 'json'].0.0",Sold by,"PC Fallon Co.Trusted storeWhat makes this a trusted store?This store offers a combination of fast shipping, on-time deliveries, and easy returns, among other services.·4.9/54.9 out of 5 stars store rating(1.6K)"
"['78', 'json'].0.1",Sold by,eBay1 more offerHide offers
"['78', 'json'].0.2",Sold by,truegether.com/user/433433.html
"['78', 'json'].0.3",Sold by,Bonanza - Xperts-Bonanza Mall
"['78', 'json'].0.4",Sold by,Newegg.com - Famous Microgreens
"['78', 'json'].0.5",Sold by,Zabiva.com
"['78', 'json'].0.6",Sold by,iBeautyCity.com
"['78', 'json'].0.7",Sold by,goodholidayprice
"['78', 'json'].1.0",Details & special offers,"Delivery by Wed, May 25Spend $89 for free delivery"
"['78', 'json'].1.1",Details & special offers,"Free delivery by Wed, May 18"
"['78', 'json'].1.2",Details & special offers,Free delivery
"['78', 'json'].1.3",Details & special offers,Free delivery
"['78', 'json'].1.4",Details & special offers,Free delivery
"['78', 'json'].1.5",Details & special offers,Free deliveryApply SAVE22
"['78', 'json'].1.6",Details & special offers,"Free delivery by Sun, May 22"
"['78', 'json'].1.7",Details & special offers,"Free delivery by Tue, May 17"
"['78', 'json'].2.0",Item price,"GREAT PICKThis product and store are highly rated, and the price is competitive.$37.40"
"['78', 'json'].2.1",Item price,$44.99 
"['78', 'json'].2.2",Item price,$44.09 
"['78', 'json'].2.3",Item price,$44.99 
"['78', 'json'].2.4",Item price,$57.29 
"['78', 'json'].2.5",Item price,5% OFF$54.89
"['78', 'json'].2.6",Item price,$75.65 
"['78', 'json'].2.7",Item price,$75.78 
"['78', 'json'].3.0",Total price,$45.35 
"['78', 'json'].3.1",Total price,$47.69 
"['78', 'json'].3.2",Total price,$44.09 
"['78', 'json'].3.3",Total price,$47.69 
"['78', 'json'].3.4",Total price,$60.73 
"['78', 'json'].3.5",Total price,$58.18 
"['78', 'json'].3.6",Total price,$75.65 
"['78', 'json'].3.7",Total price,$75.78 
"['9', 'json'].0.0",Sold by,Vitabath4.9/54.9 out of 5 stars store rating(392 store reviews)
"['9', 'json'].0.1",Sold by,Walmart - Euro Pharm
"['9', 'json'].0.2",Sold by,eBay3 more offersHide offers
"['9', 'json'].0.3",Sold by,myBitti.com
"['9', 'json'].0.4",Sold by,DorothyShop
"['9', 'json'].0.5",Sold by,MeekDepot
"['9', 'json'].0.6",Sold by,Zabiva.com
"['9', 'json'].0.7",Sold by,"onnyxbeautyTrusted storeWhat makes this a trusted store?This store offers a combination of fast shipping, on-time deliveries, and easy returns, among other services."
"['9', 'json'].0.8",Sold by,Oneway Beauty
"['9', 'json'].1.0",Details & special offers,Spend $65 for free delivery
"['9', 'json'].1.1",Details & special offers,Free delivery
"['9', 'json'].1.2",Details & special offers,"Free delivery by Wed, May 18"
"['9', 'json'].1.3",Details & special offers,"Free delivery by Tue, May 17"
"['9', 'json'].1.4",Details & special offers,"$7.13 delivery by Mon, May 30Free 30-day returns"
"['9', 'json'].1.5",Details & special offers,"Free delivery by Sun, May 22"
"['9', 'json'].1.6",Details & special offers,Free deliveryApply SAVE22
"['9', 'json'].1.7",Details & special offers,"Free delivery by Mon, May 23"
"['9', 'json'].1.8",Details & special offers,"Free delivery by Sun, May 22"
"['9', 'json'].2.0",Item price,LOW PRICE$20.55
"['9', 'json'].2.1",Item price,$24.99 
"['9', 'json'].2.2",Item price,$24.99 
"['9', 'json'].2.3",Item price,$26.99 
"['9', 'json'].2.4",Item price,$28.50 
"['9', 'json'].2.5",Item price,$83.50 
"['9', 'json'].2.6",Item price,5% OFF$52.60
"['9', 'json'].2.7",Item price,$77.93 
"['9', 'json'].2.8",Item price,$72.37 
"['9', 'json'].3.0",Total price,$30.50 
"['9', 'json'].3.1",Total price,$26.49 
"['9', 'json'].3.2",Total price,$26.49 
"['9', 'json'].3.3",Total price,$28.61 
"['9', 'json'].3.4",Total price,$39.90 
"['9', 'json'].3.5",Total price,$83.50 
"['9', 'json'].3.6",Total price,$55.76 
"['9', 'json'].3.7",Total price,$77.93 
"['9', 'json'].3.8",Total price,$72.37 
